IntersectingStrategy,FocalStrategy,AbsoluteOverlap_km,FocalArea_km,ProportionOverlap
avoidforest,avoidforest,9696931.242,9696931.242,1
avoidforest,avoidgrass,0,26530856.18,0
avoidforest,avoidwet,0,1377855.386,0
avoidforest,avoidpeat,0,2182861.901,0
avoidforest,nfm,0,16549098.51,0
avoidforest,plantations,0,4171407.486,0
avoidforest,nutrients,0,17557362.21,0
avoidforest,rice,0,1620058.578,0
avoidforest,integr_trees,0,5494228.647,0
avoidforest,silvo,0,1150494.191,0
avoidforest,legumes,0,1855648.338,0
avoidforest,biochar,0,15108386.56,0
avoidforest,ew,0,12757720.62,0
avoidforest,wetrestoration,0,62584.21012,0
avoidforest,peatrestoration,0,444319.7607,0
avoidforest,grassrestoration,0,9532757.784,0
avoidforest,reforestation,0,10132214.99,0
avoidforest,afforestation,0,6026223.564,0
avoidforest,BECCS,1153770.072,12720721.9,0.090700047
avoidgrass,avoidforest,0,9696931.242,0
avoidgrass,avoidgrass,26530856.18,26530856.18,1
avoidgrass,avoidwet,0,1377855.386,0
avoidgrass,avoidpeat,0,2182861.901,0
avoidgrass,nfm,0,16549098.51,0
avoidgrass,plantations,0,4171407.486,0
avoidgrass,nutrients,0,17557362.21,0
avoidgrass,rice,0,1620058.578,0
avoidgrass,integr_trees,0,5494228.647,0
avoidgrass,silvo,0,1150494.191,0
avoidgrass,legumes,0,1855648.338,0
avoidgrass,biochar,0,15108386.56,0
avoidgrass,ew,0,12757720.62,0
avoidgrass,wetrestoration,0,62584.21012,0
avoidgrass,peatrestoration,0,444319.7607,0
avoidgrass,grassrestoration,0,9532757.784,0
avoidgrass,reforestation,0,10132214.99,0
avoidgrass,afforestation,4154037.603,6026223.564,0.689326833
avoidgrass,BECCS,2790255.036,12720721.9,0.219347224
avoidwet,avoidforest,0,9696931.242,0
avoidwet,avoidgrass,0,26530856.18,0
avoidwet,avoidwet,1377855.386,1377855.386,1
avoidwet,avoidpeat,0,2182861.901,0
avoidwet,nfm,0,16549098.51,0
avoidwet,plantations,0,4171407.486,0
avoidwet,nutrients,0,17557362.21,0
avoidwet,rice,0,1620058.578,0
avoidwet,integr_trees,0,5494228.647,0
avoidwet,silvo,0,1150494.191,0
avoidwet,legumes,0,1855648.338,0
avoidwet,biochar,0,15108386.56,0
avoidwet,ew,0,12757720.62,0
avoidwet,wetrestoration,0,62584.21012,0
avoidwet,peatrestoration,0,444319.7607,0
avoidwet,grassrestoration,0,9532757.784,0
avoidwet,reforestation,0,10132214.99,0
avoidwet,afforestation,55589.82095,6026223.564,0.009224653
avoidwet,BECCS,118787.8805,12720721.9,0.00933814
avoidpeat,avoidforest,0,9696931.242,0
avoidpeat,avoidgrass,0,26530856.18,0
avoidpeat,avoidwet,0,1377855.386,0
avoidpeat,avoidpeat,2182861.901,2182861.901,1
avoidpeat,nfm,0,16549098.51,0
avoidpeat,plantations,0,4171407.486,0
avoidpeat,nutrients,0,17557362.21,0
avoidpeat,rice,0,1620058.578,0
avoidpeat,integr_trees,0,5494228.647,0
avoidpeat,silvo,0,1150494.191,0
avoidpeat,legumes,0,1855648.338,0
avoidpeat,biochar,0,15108386.56,0
avoidpeat,ew,0,12757720.62,0
avoidpeat,wetrestoration,0,62584.21012,0
avoidpeat,peatrestoration,0,444319.7607,0
avoidpeat,grassrestoration,0,9532757.784,0
avoidpeat,reforestation,0,10132214.99,0
avoidpeat,afforestation,31259.26369,6026223.564,0.005187206
avoidpeat,BECCS,66301.3779,12720721.9,0.005212077
nfm,avoidforest,0,9696931.242,0
nfm,avoidgrass,0,26530856.18,0
nfm,avoidwet,0,1377855.386,0
nfm,avoidpeat,0,2182861.901,0
nfm,nfm,16549098.51,16549098.51,1
nfm,plantations,0,4171407.486,0
nfm,nutrients,0,17557362.21,0
nfm,rice,0,1620058.578,0
nfm,integr_trees,0,5494228.647,0
nfm,silvo,0,1150494.191,0
nfm,legumes,0,1855648.338,0
nfm,biochar,0,15108386.56,0
nfm,ew,0,12757720.62,0
nfm,wetrestoration,0,62584.21012,0
nfm,peatrestoration,0,444319.7607,0
nfm,grassrestoration,0,9532757.784,0
nfm,reforestation,0,10132214.99,0
nfm,afforestation,0,6026223.564,0
nfm,BECCS,2408980.752,12720721.9,0.189374532
plantations,avoidforest,0,9696931.242,0
plantations,avoidgrass,0,26530856.18,0
plantations,avoidwet,0,1377855.386,0
plantations,avoidpeat,0,2182861.901,0
plantations,nfm,0,16549098.51,0
plantations,plantations,4171407.486,4171407.486,1
plantations,nutrients,0,17557362.21,0
plantations,rice,0,1620058.578,0
plantations,integr_trees,0,5494228.647,0
plantations,silvo,0,1150494.191,0
plantations,legumes,0,1855648.338,0
plantations,biochar,0,15108386.56,0
plantations,ew,3477707.584,12757720.62,0.272596312
plantations,wetrestoration,0,62584.21012,0
plantations,peatrestoration,0,444319.7607,0
plantations,grassrestoration,0,9532757.784,0
plantations,reforestation,0,10132214.99,0
plantations,afforestation,0,6026223.564,0
plantations,BECCS,792254.2039,12720721.9,0.062280601
nutrients,avoidforest,0,9696931.242,0
nutrients,avoidgrass,0,26530856.18,0
nutrients,avoidwet,0,1377855.386,0
nutrients,avoidpeat,0,2182861.901,0
nutrients,nfm,0,16549098.51,0
nutrients,plantations,0,4171407.486,0
nutrients,nutrients,17557362.21,17557362.21,1
nutrients,rice,1620058.578,1620058.578,1
nutrients,integr_trees,5494228.647,5494228.647,1
nutrients,silvo,0,1150494.191,0
