"Solution","Area","ObsFreq","Order","Solution_chr","avoidforest","avoidgrass","avoidwet","avoidpeat","nfm","plantations","nutrients","rice","integr_trees","silvo","legumes","biochar","ew","wetrestoration","peatrestoration","grassrestoration","reforestation","afforestation","BECCS"
"1",8543161.16958126,9442097,"Order: 0","avoidforest",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,19",1153770.07197893,1202738,"Order: 1","avoidforest,BECCS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10,11",82148.7414516903,85186,"Order: 1","silvo,legumes",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"10,11,13",26619.9127404108,27652,"Order: 2","silvo,legumes,ew",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"10,11,13,14",199.262992336694,201,"Order: 3","silvo,legumes,ew,wetrestoration",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"10,11,13,14,19",60.6205184875078,62,"Order: 4","silvo,legumes,ew,wetrestoration,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
"10,11,13,15",8087.8843872171,8192,"Order: 3","silvo,legumes,ew,peatrestoration",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
"10,11,13,15,18",81.9045723835669,89,"Order: 4","silvo,legumes,ew,peatrestoration,afforestation",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
"10,11,13,15,18,19",19.2188412809505,22,"Order: 5","silvo,legumes,ew,peatrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1
"10,11,13,15,19",2520.29420427561,2613,"Order: 4","silvo,legumes,ew,peatrestoration,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
"10,11,13,16",5357.23503799615,5632,"Order: 3","silvo,legumes,ew,grassrestoration",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"10,11,13,16,18",35311.5538478035,37785,"Order: 4","silvo,legumes,ew,grassrestoration,afforestation",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
"10,11,13,16,18,19",3975.45682157979,4404,"Order: 5","silvo,legumes,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1
"10,11,13,16,19",129.839124692593,152,"Order: 4","silvo,legumes,ew,grassrestoration,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
"10,11,13,17",617014.52938848,650259,"Order: 3","silvo,legumes,ew,reforestation",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
"10,11,13,17,19",79851.2162728699,87266,"Order: 4","silvo,legumes,ew,reforestation,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
"10,11,13,19",1827.89641522835,2006,"Order: 3","silvo,legumes,ew,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"10,11,14",104.000664262424,107,"Order: 2","silvo,legumes,wetrestoration",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"10,11,14,18",2.87356460347652,3,"Order: 3","silvo,legumes,wetrestoration,afforestation",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
"10,11,14,19",2.89261538136053,3,"Order: 3","silvo,legumes,wetrestoration,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"10,11,15",4454.46937778848,4483,"Order: 2","silvo,legumes,peatrestoration",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"10,11,15,18",65.9254668108993,69,"Order: 3","silvo,legumes,peatrestoration,afforestation",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
"10,11,15,19",193.595440667084,201,"Order: 3","silvo,legumes,peatrestoration,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"10,11,16",35140.840705993,37212,"Order: 2","silvo,legumes,grassrestoration",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"10,11,16,18",61754.6709308587,64702,"Order: 3","silvo,legumes,grassrestoration,afforestation",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
"10,11,16,18,19",2206.86194077791,2605,"Order: 4","silvo,legumes,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
"10,11,16,19",7857.40204601855,9417,"Order: 3","silvo,legumes,grassrestoration,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
"10,11,17",148771.94474494,155763,"Order: 2","silvo,legumes,reforestation",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"10,11,17,19",16148.6059683818,17581,"Order: 3","silvo,legumes,reforestation,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"10,11,19",10584.5408397161,11969,"Order: 2","silvo,legumes,BECCS",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"11",152430.391151741,235927,"Order: 0","legumes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11,13",139190.131333838,222696,"Order: 1","legumes,ew",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"11,13,14",241.622976923571,334,"Order: 2","legumes,ew,wetrestoration",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"11,13,14,19",28.0072881379423,45,"Order: 3","legumes,ew,wetrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
"11,13,15",4488.81312711116,6493,"Order: 2","legumes,ew,peatrestoration",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"11,13,15,18",9.56670508346653,14,"Order: 3","legumes,ew,peatrestoration,afforestation",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"11,13,15,19",612.154897023124,894,"Order: 3","legumes,ew,peatrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"11,13,16",11379.5806881892,18103,"Order: 2","legumes,ew,grassrestoration",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"11,13,16,18",3924.35823349868,6221,"Order: 3","legumes,ew,grassrestoration,afforestation",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"11,13,16,18,19",572.817567980484,920,"Order: 4","legumes,ew,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
"11,13,16,19",702.264695519429,1074,"Order: 3","legumes,ew,grassrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
"11,13,17",147583.977023348,226585,"Order: 2","legumes,ew,reforestation",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"11,13,17,19",19327.8836755864,29828,"Order: 3","legumes,ew,reforestation,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"11,13,19",9135.42581540409,15065,"Order: 2","legumes,ew,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"11,14",157.506376965439,238,"Order: 1","legumes,wetrestoration",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"11,14,19",11.7952406715412,19,"Order: 2","legumes,wetrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"11,15",2081.73422802592,2858,"Order: 1","legumes,peatrestoration",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"11,15,18",4.08090997225475,6,"Order: 2","legumes,peatrestoration,afforestation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"11,15,19",205.469154823743,277,"Order: 2","legumes,peatrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"11,16",125522.37997139,199631,"Order: 1","legumes,grassrestoration",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"11,16,18",3899.01249983917,5957,"Order: 2","legumes,grassrestoration,afforestation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"11,16,18,19",157.302186016303,241,"Order: 3","legumes,grassrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
"11,16,19",22891.9715055591,34880,"Order: 2","legumes,grassrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"11,17",15465.0907820588,23207,"Order: 1","legumes,reforestation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"11,17,19",3187.094229845,4843,"Order: 2","legumes,reforestation,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"11,19",41943.7144983991,61520,"Order: 1","legumes,BECCS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"14",48573.2836814574,70686,"Order: 0","wetrestoration",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14,18",534.675095883726,779,"Order: 1","wetrestoration,afforestation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"14,18,19",440.904488987957,641,"Order: 2","wetrestoration,afforestation,BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"14,19",7222.39602663837,10504,"Order: 1","wetrestoration,BECCS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"15",168380.604117922,240254,"Order: 0","peatrestoration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
